T, TWL
0.00399668,1873
0.00379685,1873
0.003607,1873
0.00342665,1873
0.00325532,1873
0.00309256,1873
0.00293793,1873
0.00279103,1873
0.00265148,1873
0.00251891,1873
0.00239296,1873
0.00227331,1873
0.00215965,1873
0.00205166,1873
0.00194908,1873
0.00185163,1873
0.00175905,1872
0.00167109,1872
0.00158754,1872
0.00150816,1872
0.00143275,1871
0.00136112,1870
0.00129306,1869
0.00122841,1869
0.00116699,1868
0.00110864,1868
0.00105321,1868
0.00100055,1868
