T, TWL
1.894e+06,3788
1.7993e+06,3699
1.70934e+06,4048
1.62387e+06,4039
1.54267e+06,3829
1.46554e+06,3957
1.39226e+06,3944
1.32265e+06,3926
1.25652e+06,3922
1.19369e+06,3850
1.13401e+06,4010
1.07731e+06,4016
1.02344e+06,4065
972270,3965
923656,3904
877474,3860
833600,3868
791920,3912
752324,3902
714708,3836
678972,3964
645024,4044
612773,3832
582134,3746
553027,4048
525376,3861
499107,3939
474152,4075
450444,3816
427922,3865
406526,3883
386200,3922
366890,3981
348545,3877
331118,3841
314562,4010
298834,3940
283892,3889
269698,3834
256213,3778
243402,4066
231232,3963
219670,3888
208687,3918
198252,3933
188340,3753
178923,3893
169977,3926
161478,3816
153404,3863
145734,3920
138447,4020
131525,3816
124949,3870
118701,3799
112766,3827
107128,3868
101771,3930
96682.8,3960
91848.6,3915
87256.2,4049
82893.4,3803
78748.7,3926
74811.3,4012
71070.7,3921
67517.2,3851
64141.3,3894
60934.3,4025
57887.5,3963
54993.2,3860
52243.5,3974
49631.3,3863
47149.8,3880
44792.3,3782
42552.7,3785
40425,3909
38403.8,3812
36483.6,3782
34659.4,3907
32926.4,4055
31280.1,3902
29716.1,3973
28230.3,4029
26818.8,3852
25477.9,4036
24204,3863
22993.8,4052
21844.1,4003
20751.9,4024
19714.3,3876
18728.6,3922
17792.1,3878
16902.5,3887
16057.4,3936
15254.5,3912
14491.8,3926
13767.2,3863
13078.9,4037
12424.9,3834
11803.7,3856
11213.5,4061
10652.8,3953
10120.2,3893
9614.16,3889
9133.45,3891
8676.78,3814
8242.94,3790
7830.79,3867
7439.25,4005
7067.29,3909
6713.93,3826
6378.23,3940
6059.32,3907
5756.35,3796
5468.53,3924
5195.11,3949
4935.35,3858
4688.58,3936
4454.16,3759
4231.45,3947
4019.88,3919
3818.88,4019
3627.94,4043
3446.54,4027
3274.21,3942
3110.5,3850
2954.98,3848
2807.23,3914
2666.87,3858
2533.52,3884
2406.85,3842
2286.51,4002
2172.18,3917
2063.57,4068
1960.39,3863
1862.37,3836
1769.25,3846
1680.79,3974
1596.75,3827
1516.91,3863
1441.07,3788
1369.02,3764
1300.56,4012
1235.54,3857
1173.76,3862
1115.07,3694
1059.32,3909
1006.35,3909
956.034,3752
908.233,3878
862.821,4080
819.68,3888
778.696,3956
739.761,3960
702.773,3912
667.635,3860
634.253,3857
602.54,3864
572.413,3824
543.793,3935
516.603,3873
490.773,3873
466.234,3779
442.922,3833
420.776,3918
399.737,4055
379.751,3911
360.763,4058
342.725,3974
325.589,4046
309.309,3827
293.844,3883
279.152,3907
265.194,3887
251.934,3792
239.338,3869
227.371,3811
216.002,3990
205.202,3909
194.942,3885
185.195,3975
175.935,3998
167.138,3818
158.781,4001
150.842,3931
143.3,3892
136.135,3894
129.328,4013
122.862,3778
116.719,3937
110.883,3954
105.339,3726
100.072,3842
95.0683,3982
90.3149,3858
85.7992,3845
81.5092,3891
77.4337,3631
73.562,3806
69.8839,3880
66.3897,3818
63.0703,3605
59.9167,3670
56.9209,3701
54.0749,3881
51.3711,3800
48.8026,3716
46.3624,3860
44.0443,3686
41.8421,3629
39.75,3752
37.7625,3821
35.8744,3775
34.0807,3883
32.3766,3616
30.7578,3789
29.2199,3742
27.7589,3789
26.371,3558
25.0524,3639
23.7998,3832
22.6098,3639
21.4793,3641
20.4053,3520
19.3851,3528
18.4158,3616
17.495,3542
16.6203,3491
15.7893,3507
14.9998,3434
14.2498,3328
13.5373,3575
12.8605,3374
12.2174,3481
11.6066,3290
11.0262,3485
10.4749,3393
9.95118,3203
9.45362,3286
8.98094,3231
8.53189,3225
8.1053,3142
7.70003,2976
7.31503,2959
6.94928,3006
6.60181,2902
6.27172,2934
5.95814,2863
5.66023,2840
5.37722,2789
5.10836,2619
4.85294,2507
4.61029,2417
4.37978,2397
4.16079,2337
3.95275,2309
3.75511,2278
3.56736,2190
3.38899,2119
3.21954,2031
3.05856,1927
2.90563,1900
2.76035,1858
2.62233,1932
