T, TWL
2.49122,1756
2.36666,1727
2.24832,1737
2.13591,1698
2.02911,1714
1.92766,1663
1.83127,1619
1.73971,1581
1.65273,1547
1.57009,1516
1.49158,1486
1.41701,1506
1.34615,1438
1.27885,1382
1.2149,1348
1.15416,1346
1.09645,1336
1.04163,1325
0.989548,1311
0.94007,1289
0.893067,1282
0.848413,1263
0.805993,1232
0.765693,1214
0.727408,1193
0.691038,1185
0.656486,1174
0.623662,1157
0.592479,1152
0.562855,1132
0.534712,1127
0.507976,1109
0.482578,1101
0.458449,1093
0.435526,1084
0.41375,1072
0.393062,1067
0.373409,1066
0.354739,1063
0.337002,1056
0.320152,1053
0.304144,1052
0.288937,1051
0.27449,1040
0.260766,1038
0.247727,1038
0.235341,1033
0.223574,1031
0.212395,1030
0.201775,1027
0.191687,1022
0.182102,1019
0.172997,1019
0.164347,1015
0.15613,1013
0.148324,1012
0.140907,1009
0.133862,1005
0.127169,1004
0.12081,1003
0.11477,1003
0.109031,1001
0.10358,1001
0.0984009,999
0.0934808,997
0.0888068,997
0.0843664,997
0.0801481,995
0.0761407,994
0.0723337,993
0.068717,992
0.0652811,992
0.0620171,990
0.0589162,990
0.0559704,989
0.0531719,989
0.0505133,989
0.0479876,989
0.0455883,988
0.0433088,988
0.0411434,988
0.0390862,987
0.0371319,987
0.0352753,986
0.0335116,986
0.031836,986
0.0302442,985
0.028732,985
0.0272954,985
0.0259306,985
0.0246341,985
0.0234024,985
0.0222323,985
0.0211206,984
0.0200646,984
0.0190614,984
0.0181083,983
0.0172029,983
0.0163427,983
0.0155256,983
0.0147493,983
0.0140119,983
0.0133113,983
0.0126457,983
0.0120134,983
0.0114128,983
0.0108421,983
0.0103,983
0.00978501,983
0.00929576,983
0.00883097,983
0.00838942,983
0.00796995,983
0.00757145,983
0.00719288,983
0.00683324,983
0.00649157,983
0.00616699,983
0.00585865,983
0.00556571,982
0.00528743,982
0.00502306,982
0.0047719,982
0.00453331,982
0.00430664,982
0.00409131,982
0.00388674,982
0.00369241,982
0.00350779,982
0.0033324,982
0.00316578,982
0.00300749,982
0.00285711,982
0.00271426,982
0.00257855,982
0.00244962,982
0.00232714,982
0.00221078,981
0.00210024,980
0.00199523,980
0.00189547,980
0.00180069,980
0.00171066,980
0.00162513,980
0.00154387,980
0.00146668,980
0.00139334,980
0.00132368,980
0.00125749,980
0.00119462,980
0.00113489,980
0.00107814,980
0.00102424,980
0.000973024,980
0.000924372,980
0.000878154,980
0.000834246,980
0.000792534,980
