T, TWL
48000,96
45600,95
43320,81
41154,87
39096.3,75
37141.5,96
35284.4,91
33520.2,85
31844.2,98
30252,102
28739.4,87
27302.4,89
25937.3,87
24640.4,103
23408.4,83
22238,99
21126.1,99
20069.8,99
19066.3,89
18113,92
17207.3,89
16347,90
15529.6,79
14753.1,77
14015.5,103
13314.7,94
12649,86
12016.5,76
11415.7,100
10844.9,79
10302.7,93
9787.53,102
9298.15,82
8833.24,83
8391.58,87
7972,84
7573.4,94
7194.73,100
6835,70
6493.25,89
6168.58,83
5860.15,78
5567.15,74
5288.79,80
5024.35,102
4773.13,83
4534.48,95
4307.75,76
4092.36,95
3887.75,91
3693.36,92
3508.69,94
3333.26,85
3166.59,81
3008.26,74
2857.85,83
2714.96,93
2579.21,103
2450.25,91
2327.74,99
2211.35,86
2100.78,99
1995.74,88
1895.96,91
1801.16,88
1711.1,91
1625.55,93
1544.27,98
1467.06,93
1393.7,89
1324.02,88
1257.82,77
1194.93,91
1135.18,91
1078.42,91
1024.5,81
973.274,97
924.611,105
878.38,75
834.461,87
792.738,80
753.101,98
715.446,100
679.674,95
645.69,115
613.406,105
582.735,84
553.598,88
525.919,86
499.623,91
474.642,93
450.909,85
428.364,90
406.946,85
386.598,83
367.269,86
348.905,90
331.46,83
314.887,105
299.143,83
284.185,101
269.976,89
256.477,82
243.653,98
231.471,97
219.897,92
208.902,86
198.457,80
188.534,101
179.108,84
170.152,78
161.645,93
153.562,77
145.884,84
138.59,98
131.661,93
125.078,99
118.824,81
112.883,96
107.238,81
101.876,79
96.7826,96
91.9435,91
87.3463,86
82.979,97
78.8301,95
74.8886,79
71.1441,90
67.5869,90
64.2076,77
60.9972,80
57.9473,82
55.05,101
52.2975,70
49.6826,88
47.1985,81
44.8385,88
42.5966,90
40.4668,83
38.4435,102
36.5213,92
34.6952,84
32.9605,86
31.3124,111
29.7468,90
28.2595,82
26.8465,85
25.5042,76
24.229,70
23.0175,79
21.8666,76
20.7733,91
19.7346,100
18.7479,99
17.8105,78
16.92,85
16.074,83
15.2703,82
14.5068,94
13.7814,72
13.0924,72
12.4377,90
11.8159,91
11.2251,74
10.6638,75
10.1306,87
9.62409,84
9.14289,80
8.68574,94
8.25145,82
7.83888,97
7.44694,86
7.07459,84
6.72086,85
6.38482,80
6.06558,82
5.7623,81
5.47418,90
5.20047,78
4.94045,77
4.69343,73
4.45876,80
4.23582,64
4.02403,65
3.82283,70
3.63169,77
3.4501,66
3.2776,76
3.11372,77
2.95803,72
2.81013,75
2.66962,72
2.53614,67
2.40933,72
2.28887,72
2.17442,59
2.0657,66
1.96242,64
1.8643,52
1.77108,63
1.68253,61
1.5984,54
1.51848,63
1.44256,54
1.37043,58
1.30191,48
1.23681,62
1.17497,54
1.11622,61
1.06041,51
1.00739,55
0.957022,54
0.909171,53
0.863712,51
0.820527,45
0.7795,58
0.740525,52
0.703499,45
0.668324,46
0.634908,47
0.603163,50
0.573004,43
0.544354,48
0.517137,42
0.49128,43
0.466716,42
0.44338,44
0.421211,41
0.40015,38
0.380143,37
0.361136,38
0.343079,38
0.325925,37
0.309629,38
0.294147,38
0.27944,37
0.265468,37
0.252195,37
0.239585,37
0.227606,37
0.216225,36
0.205414,36
0.195143,36
0.185386,36
0.176117,36
0.167311,36
0.158945,36
0.150998,36
0.143448,36
0.136276,36
0.129462,36
0.122989,36
0.11684,36
0.110998,36
0.105448,36
0.100175,36
0.0951665,36
0.0904082,36
0.0858878,36
0.0815934,36
0.0775137,36
0.073638,36
0.0699561,36
0.0664583,36
0.0631354,36
0.0599786,36
0.0569797,36
0.0541307,36
0.0514242,36
0.048853,36
0.0464103,36
0.0440898,36
0.0418853,36
0.0397911,36
0.0378015,36
0.0359114,36
0.0341159,36
0.0324101,36
0.0307896,36
0.0292501,36
0.0277876,36
0.0263982,36
0.0250783,36
0.0238244,36
0.0226332,36
0.0215015,36
0.0204264,36
0.0194051,36
0.0184348,36
0.0175131,36
0.0166375,36
0.0158056,36
0.0150153,36
0.0142645,36
0.0135513,36
0.0128737,36
0.0122301,36
0.0116186,36
0.0110376,36
0.0104857,36
0.00996146,36
0.00946338,36
0.00899021,36
0.0085407,36
0.00811367,36
0.00770798,36
0.00732259,36
0.00695646,36
0.00660863,36
0.0062782,36
0.00596429,36
0.00566608,36
0.00538277,36
0.00511363,36
0.00485795,36
0.00461506,36
0.0043843,36
0.00416509,36
0.00395683,36
0.00375899,36
0.00357104,36
0.00339249,36
0.00322287,36
0.00306172,36
0.00290864,36
0.0027632,36
0.00262504,36
0.00249379,36
0.0023691,36
0.00225065,36
0.00213811,36
0.00203121,36
0.00192965,36
0.00183317,36
0.00174151,36
0.00165443,36
0.00157171,36
0.00149313,36
0.00141847,36
0.00134755,36
0.00128017,36
0.00121616,36
0.00115535,36
0.00109758,36
0.00104271,36
0.00099057,36
0.000941041,36
0.000893989,36
0.00084929,36
0.000806825,36
0.000766484,36
0.00072816,36
0.000691752,36
0.000657164,36
0.000624306,36
0.000593091,36
0.000563436,36
0.000535264,36
0.000508501,36
0.000483076,36
0.000458922,36
0.000435976,36
0.000414177,36
0.000393468,36
0.000373795,36
0.000355105,36
0.00033735,36
0.000320483,36
0.000304458,36
0.000289235,36
