T, TWL
96500,193
91675,168
87091.2,183
82736.7,186
78599.9,178
74669.9,184
70936.4,165
67389.5,181
64020.1,172
60819.1,152
57778.1,170
54889.2,145
52144.7,167
49537.5,179
47060.6,178
44707.6,162
42472.2,176
40348.6,154
38331.2,172
36414.6,169
34593.9,164
32864.2,176
31221,165
29659.9,185
28176.9,161
26768.1,168
25429.7,167
24158.2,177
22950.3,184
21802.8,165
20712.6,178
19677,153
18693.2,169
17758.5,185
16870.6,157
16027,177
15225.7,175
14464.4,173
13741.2,183
13054.1,173
12401.4,155
11781.4,160
11192.3,179
10632.7,175
10101,156
9595.98,175
9116.19,179
8660.38,191
8227.36,181
7815.99,172
7425.19,145
7053.93,161
6701.23,179
6366.17,194
6047.86,183
5745.47,179
5458.2,160
5185.29,152
4926.02,190
4679.72,159
4445.74,181
4223.45,181
4012.28,186
3811.66,167
3621.08,181
3440.03,155
3268.02,186
3104.62,169
2949.39,165
2801.92,171
2661.83,169
2528.73,192
2402.3,174
2282.18,160
2168.07,139
2059.67,182
1956.69,170
1858.85,199
1765.91,172
1677.61,167
1593.73,166
1514.05,179
1438.34,170
1366.43,195
1298.11,147
1233.2,174
1171.54,155
1112.96,168
1057.32,165
1004.45,170
954.227,177
906.516,188
861.19,169
818.131,171
777.224,179
738.363,190
701.445,176
666.372,184
633.054,170
601.401,206
571.331,164
542.765,180
515.626,202
489.845,182
465.353,192
442.085,168
419.981,167
398.982,166
379.033,174
360.081,168
342.077,183
324.973,159
308.725,178
293.288,158
278.624,181
264.693,149
251.458,157
238.885,165
226.941,180
215.594,194
204.814,180
194.573,165
184.845,176
175.603,147
166.822,168
158.481,179
150.557,164
143.029,182
135.878,190
129.084,172
122.63,163
116.498,149
110.673,166
105.14,168
99.8827,174
94.8886,173
90.1442,178
85.637,176
81.3551,164
77.2874,171
73.423,160
69.7518,179
66.2642,162
62.951,166
59.8035,150
56.8133,179
53.9726,172
51.274,153
48.7103,185
46.2748,195
43.9611,153
41.763,166
39.6749,149
37.6911,157
35.8066,165
34.0162,178
32.3154,149
30.6996,182
29.1647,167
27.7064,154
26.3211,147
25.0051,168
23.7548,157
22.5671,184
21.4387,181
20.3668,187
19.3484,187
18.381,173
17.462,168
16.5889,169
15.7594,154
14.9714,156
14.2229,151
13.5117,164
12.8361,164
12.1943,162
11.5846,173
11.0054,163
10.4551,152
9.93236,141
9.43575,143
8.96396,150
8.51576,161
8.08997,169
7.68547,156
7.3012,150
6.93614,159
6.58933,151
6.25987,142
5.94687,137
5.64953,150
5.36705,135
5.0987,143
4.84377,140
4.60158,135
4.3715,149
4.15292,135
3.94528,159
3.74801,122
3.56061,135
3.38258,135
3.21345,111
3.05278,142
2.90014,114
2.75513,125
2.61738,120
2.48651,131
2.36218,129
2.24407,107
2.13187,131
2.02528,127
1.92401,114
1.82781,117
1.73642,130
1.6496,116
1.56712,121
1.48876,119
1.41433,120
1.34361,97
1.27643,118
1.21261,97
1.15198,93
1.09438,102
1.03966,97
0.987677,87
0.938293,84
0.891378,85
0.846809,91
0.804469,77
0.764246,78
0.726033,79
0.689732,77
0.655245,76
0.622483,73
0.591359,80
0.561791,77
0.533701,78
0.507016,79
0.481665,79
0.457582,69
0.434703,67
0.412968,67
0.392319,70
0.372703,70
0.354068,69
0.336365,68
0.319547,68
0.303569,66
0.288391,66
0.273971,67
0.260273,68
0.247259,66
0.234896,66
0.223151,66
0.211994,67
0.201394,68
0.191324,67
0.181758,67
0.17267,67
0.164037,66
0.155835,65
0.148043,64
0.140641,64
0.133609,64
0.126928,64
0.120582,64
0.114553,64
0.108825,64
0.103384,64
0.0982148,64
0.0933041,64
0.0886389,64
0.084207,64
0.0799966,64
0.0759968,64
0.0721969,64
0.0685871,64
0.0651577,64
0.0618998,64
0.0588049,64
0.0558646,64
0.0530714,64
0.0504178,64
0.0478969,64
0.0455021,64
0.043227,64
0.0410656,64
0.0390123,64
0.0370617,64
0.0352086,64
0.0334482,64
0.0317758,64
0.030187,64
0.0286777,64
0.0272438,64
0.0258816,64
0.0245875,64
0.0233581,64
0.0221902,64
0.0210807,64
0.0200267,64
0.0190253,64
0.0180741,64
0.0171704,64
0.0163119,64
0.0154963,64
0.0147214,64
0.0139854,64
0.0132861,64
0.0126218,64
0.0119907,64
0.0113912,64
0.0108216,64
0.0102805,64
0.00976651,64
0.00927818,64
0.00881427,64
0.00837356,64
0.00795488,64
0.00755714,64
0.00717928,64
0.00682032,64
0.0064793,64
0.00615534,64
0.00584757,64
0.00555519,64
0.00527743,64
0.00501356,64
0.00476288,64
0.00452474,64
0.0042985,64
0.00408358,64
0.0038794,64
0.00368543,64
0.00350116,64
0.0033261,64
0.00315979,64
0.0030018,64
0.00285171,64
0.00270913,64
0.00257367,64
0.00244499,64
0.00232274,64
0.0022066,64
0.00209627,64
0.00199146,64
0.00189189,64
0.00179729,64
0.00170743,64
0.00162205,64
0.00154095,64
0.0014639,64
0.00139071,64
0.00132117,64
0.00125512,64
0.00119236,64
0.00113274,64
0.0010761,64
0.0010223,64
0.000971184,64
0.000922625,64
0.000876494,64
0.000832669,64
0.000791036,64
0.000751484,64
0.00071391,64
0.000678214,64
0.000644303,64
0.000612088,64
0.000581484,64
0.00055241,64
0.000524789,64
0.00049855,64
0.000473622,64
0.000449941,64
0.000427444,64
0.000406072,64
0.000385768,64
0.00036648,64
0.000348156,64
0.000330748,64
0.000314211,64
0.0002985,64
0.000283575,64
0.000269396,64
